"name","archive_version","nrt","height","nonce","deltart"
"frankfurt",8,"1540965482223","1694617","2449483411","43"
"nyc",8,"1540968757408","1694640","357914469","149"
"nyc",8,"1540968759834","1694640","357914469","151"
"nyc",8,"1540969291061","1694641","1789782748","535"
"nyc",8,"1540969291101","1694641","1789782748","535"
"nyc",8,"1540969291103","1694641","1789782748","535"
"nyc",8,"1540969291106","1694641","1789782748","535"
"nyc",8,"1540969291147","1694641","1789782748","535"
"nyc",8,"1540969291396","1694641","1789782748","535"
"nyc",8,"1540969292183","1694641","1789782748","536"
"nyc",8,"1540969375252","1694642","3067834137","26"
"nyc",8,"1540969375711","1694642","3067834137","26"
"nyc",8,"1540969377661","1694642","3067834137","28"
"nyc",8,"1540969377850","1694642","3067834137","28"
"nyc",8,"1540969377869","1694642","3067834137","28"
"nyc",8,"1540969416929","1694643","306784381","42"
"nyc",8,"1540969522051","1694645","1687309747","32"
"nyc",8,"1540969522064","1694645","1687309747","32"
"nyc",8,"1540969522638","1694645","1687309747","32"
"nyc",8,"1540969622451","1694646","2617251668","104"
"nyc",8,"1540969623161","1694646","2617251668","105"
"nyc",8,"1540969623899","1694646","2617251668","105"
"nyc",8,"1540969623901","1694646","2617251668","105"
"nyc",8,"1540970694129","1694656","849952","229"
"nyc",8,"1540970695795","1694656","849952","230"
"nyc",8,"1540970695875","1694656","849952","230"
"nyc",8,"1540970721529","1694657","402654126","28"
"nyc",8,"1540970723668","1694657","402654126","30"
"nyc",8,"1540971131709","1694658","10302456","412"
"nyc",8,"1540971131918","1694658","10302456","412"
"nyc",8,"1540971762582","1694663","536872386","41"
"nyc",8,"1540971762692","1694663","536872386","41"
"nyc",8,"1540971762842","1694663","536872386","41"
"nyc",8,"1540971778268","1694664","3808428881","18"
"nyc",8,"1540972022203","1694666","291096","66"
"nyc",8,"1540972022205","1694666","291096","66"
"nyc",8,"1540972201722","1694667","2231599268","56"
"nyc",8,"1540972201733","1694667","2231599268","56"
"nyc",8,"1540972254053","1694668","3942646136","57"
"nyc",8,"1540972254222","1694668","3942646136","57"
"nyc",8,"1540973517306","1694676","1440412","121"
"nyc",8,"1540973519166","1694676","1440412","123"
"nyc",8,"1540973920966","1694678","2952796393","251"
"nyc",8,"1540973920968","1694678","2952796393","251"
"nyc",8,"1540973920975","1694678","2952796393","251"
"nyc",8,"1540973987416","1694679","4026560029","70"
"nyc",8,"1540974173424","1694681","38572","26"
"nyc",8,"1540974174542","1694681","38572","27"
"nyc",8,"1540974919184","1694683","1862367236","53"
"nyc",8,"1540974920953","1694683","1862367236","54"
"nyc",8,"1540975313313","1694684","1431665025","397"
"nyc",8,"1540975313319","1694684","1431665025","397"
"nyc",8,"1540975508987","1694685","3552456142","18"
"nyc",8,"1540975511746","1694685","3552456142","21"
"nyc",8,"1540975870987","1694686","4162112","365"
